Level,Lesson #,Topic,Lesson Focus,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Learning Objective
B2,20,Global Issues,Development and cooperation,poverty,aid,cooperation,crisis,resource,development,Talk about global development and cooperation.
B2,21,World Championship Football One,World Championship basics,pitch,goal,score,striker,defender,pass,"Discuss the pitch, goals, scoring, players, and passing in a World Championship match."
B2,22,World Championship Football Two,World Championship action,foul,shoot,dribble,save,tackle,be offside,"Describe fouls, shots, dribbling, tackles, offsides, and saves during a tense match."
B2,23,Cooking At Home,Cooking dinner,recipe,portion,seasoning,leftovers,simmer,chop,"Discuss recipes, portions, seasoning, and leftovers naturally."
B2,24,Home And Neighbors,Home organization,renovation,clutter,appliance,tidy,complain about,be considerate,"Talk about home improvements, clutter, appliances, and neighborly behavior."
B2,25,Fitness And Routine,Exercise habits,stamina,routine,posture,stretch,keep up with,be sore,"Describe fitness routines, stamina, posture, and physical recovery."
B2,26,Travel Delays,Airport problems,queue,boarding pass,luggage allowance,announcement,get delayed,make a connection,"Handle travel delays, queues, boarding passes, and missed connections."
B2,27,Dating And Relationships,Romantic relationships,chemistry,boundary,commitment,get along with,break up with,be honest with,"Discuss chemistry, boundaries, commitment, and honest communication."
B2,28,Family And Parenting,Caring for family,sibling,responsibility,curfew,look after,set limits,be patient with,"Talk about family responsibilities, limits, and patience with children."
B2,29,Shopping For Clothes,Buying clothes,bargain,refund,size,fabric,try on,be worth it,"Discuss sizes, fabric, refunds, bargains, and whether purchases are worth it."
B2,30,Doctor Appointment,Medical appointments,symptom,diagnosis,prescription,book,describe,be allergic to,"Describe symptoms, allergies, diagnosis, and prescriptions clearly."
B2,31,Hobbies And Creativity,Creative hobbies,hobby,workshop,sketch,pick up,improve at,be inspired by,"Talk about hobbies, workshops, sketches, and creative improvement."
B2,32,City Life,Urban routines,commute,district,pedestrian,get around,be crowded,settle into,"Discuss city districts, commuting, pedestrians, and getting around."
B2,33,Friendship Plans,Making plans with friends,spontaneous,reliable,arrangement,catch up with,show up,cancel on,Arrange flexible social plans and discuss reliability politely.
B2,34,Movies And Series,Talking about shows,plot,character,scene,be overrated,recommend,spoil,"Discuss plots, characters, scenes, recommendations, and spoilers."
B2,35,Music And Concerts,Concert plans,venue,playlist,lyrics,perform,sing along,be sold out,"Talk about venues, playlists, lyrics, live performances, and sold-out events."
B2,36,Pets And Daily Care,Pet adoption,shelter,leash,temperament,adopt,take care of,be attached to,"Discuss shelters, pet temperament, leashes, and daily animal care."
B2,37,Weather And Seasons,Weather plans,forecast,heatwave,shower,cool down,warm up,be humid,"Discuss forecasts, heatwaves, showers, humidity, and changing temperatures."
B2,38,Social Media Everyday,Social media habits,feed,comment,privacy settings,scroll through,post,mute,"Discuss feeds, comments, privacy settings, posting, and muting accounts."
B2,39,Personal Budgeting,Managing money,subscription,grocery bill,expense,cut back on,split,be affordable,"Talk about expenses, subscriptions, grocery bills, and affordable budgets."
B2,40,Language Learning,Speaking practice,fluency,accent,mistake,pick up a phrase,practice,be fluent in,"Discuss fluency, accent, mistakes, phrases, and regular language practice."
B2,41,Weekend Getaway,Short trips,getaway,landmark,route,wander around,check in,be worth visiting,"Plan a weekend getaway with routes, landmarks, check-in, and sightseeing."
